Date,High,Low,Open,Close
14-10-2015,0.00546797,0.0053903,0.00542382,0.00539918
15-10-2015,0.00544072,0.00537563,0.00539244,0.00539754
16-10-2015,0.00542913,0.0051737,0.00540011,0.0052032
17-10-2015,0.00520043,0.00496655,0.00519855,0.00497885
18-10-2015,0.00508325,0.00497572,0.00497572,0.0050432
19-10-2015,0.00504787,0.00472994,0.00504226,0.00473107
20-10-2015,0.00474528,0.00463553,0.00473878,0.00469726
21-10-2015,0.00472622,0.00467073,0.0046962,0.00472339
22-10-2015,0.0047732,0.00467144,0.00472557,0.00467681
23-10-2015,0.00468678,0.00463085,0.0046757,0.00466202
24-10-2015,0.00473746,0.00455454,0.00466161,0.00455599
26-10-2015,0.00467483,0.00455379,0.00456031,0.00467483
27-10-2015,0.00471575,0.00462838,0.00467381,0.00464932
28-10-2015,0.0046877,0.00462089,0.00464836,0.00467519
29-10-2015,0.00472703,0.00463415,0.00467045,0.00463415
30-10-2015,0.00488228,0.00462171,0.0046351,0.00483902
31-10-2015,0.00488744,0.00463267,0.00484026,0.00468657
01-11-2015,0.00491843,0.00466317,0.00468493,0.00490139
02-11-2015,0.00518229,0.00489164,0.00489587,0.00515612
03-11-2015,0.00554622,0.00512793,0.0051601,0.00538301
04-11-2015,0.00586034,0.00483657,0.00540197,0.00494738
05-11-2015,0.00504072,0.00447038,0.0049546,0.00450572
06-11-2015,0.00464637,0.0043754,0.00450041,0.00456223
07-11-2015,0.00470068,0.00455769,0.0045661,0.00469432
08-11-2015,0.0046975,0.00459575,0.00468379,0.00464663
09-11-2015,0.00472324,0.00458958,0.00464969,0.00460921
10-11-2015,0.00461237,0.00436356,0.0046061,0.00440588
11-11-2015,0.00444036,0.00417337,0.00440768,0.00426376
12-11-2015,0.00457954,0.00426563,0.00426563,0.0045405
13-11-2015,0.004549,0.00443611,0.00453566,0.00447739
14-11-2015,0.0044933,0.00431559,0.00448223,0.00432753
15-11-2015,0.00432716,0.00414398,0.00432716,0.00416452
16-11-2015,0.00423708,0.00412989,0.00416262,0.00423441
17-11-2015,0.00429317,0.00422836,0.00423428,0.00425038
18-11-2015,0.00428795,0.00424332,0.00425058,0.0042582
19-11-2015,0.00426314,0.00420504,0.00425891,0.00422245
20-11-2015,0.00423699,0.00416699,0.00422209,0.00422705
21-11-2015,0.00426786,0.00421416,0.00422688,0.00424521
22-11-2015,0.0042736,0.00423806,0.00424868,0.00426729
23-11-2015,0.00435112,0.00423739,0.00426884,0.00428823
24-11-2015,0.00428845,0.0042008,0.00428845,0.00424179
25-11-2015,0.00432524,0.00422818,0.00424204,0.00431773
26-11-2015,0.0044353,0.00422741,0.00431714,0.00429121
27-11-2015,0.00430387,0.00422949,0.00427592,0.0042761
28-11-2015,0.00427453,0.00420816,0.00427453,0.0042382
29-11-2015,0.00429917,0.00423446,0.00424334,0.00429917
30-11-2015,0.00432153,0.00418509,0.00429834,0.0042011
01-12-2015,0.00420808,0.00405411,0.00420163,0.00409007
02-12-2015,0.00418924,0.00404138,0.00409078,0.00417294
03-12-2015,0.00430413,0.00417258,0.00417571,0.00426221
04-12-2015,0.004782,0.00423851,0.00426242,0.00475444
05-12-2015,0.00530137,0.00475584,0.00475584,0.00530137
06-12-2015,0.00536847,0.00515291,0.00530181,0.00534379
07-12-2015,0.00555994,0.00529707,0.00531216,0.00555994
